"visitdatestr	sum(counts)	"
"20171006	4060	"
"20171007	3888	"
"20171008	3858	"
"20171009	8963	"
"20171010	9485	"
"20171011	9715	"
"20171012	9783	"
"20171013	8713	"
"20171014	4135	"
"20171015	3872	"
"20171016	9314	"
"20171017	9060	"
"20171018	8296	"
"20171019	9230	"
"20171020	8466	"
"20171021	4082	"
"20171022	3932	"
"20171023	9688	"
"20171024	9864	"
"20171025	9422	"
"20171026	9750	"
"20171027	8586	"
"20171028	4120	"
"20171029	3931	"
"20171030	8989	"
"20171031	8738	"
"20171101	8382	"
"20171102	8745	"
"20171103	7866	"
"20171104	4178	"
"20171105	3861	"
"20171106	9704	"
"20171107	9600	"
"20171108	9268	"
"20171109	9775	"
"20171110	8773	"
"20171111	4252	"
"20171112	3906	"
"20171113	9387	"
"20171114	9129	"
"20171115	9252	"
"20171116	9285	"
"20171117	8449	"
"20171118	4242	"
"20171119	4172	"
"20171120	10214	"
"20171121	10069	"
"20171122	9564	"
"20171123	9849	"
"20171124	9102	"
"20171125	4391	"
"20171126	4154	"
"20171127	9500	"
